"PointEst","Lower","Upper","month","voc","n"
0,0,0.657619772493347,2020-03-01,"B.1.351",2
0,0,0.0442353096419738,2020-04-01,"B.1.351",83
0,0,0.0427581972857422,2020-05-01,"B.1.351",86
0,0,0.0373532120678274,2020-06-01,"B.1.351",99
0,0,0.0369934982069857,2020-07-01,"B.1.351",100
0,0,0.148654874608621,2020-08-01,"B.1.351",22
0,0,0.215310802737636,2020-09-01,"B.1.351",14
0,0,0.124555029741867,2020-10-01,"B.1.351",27
0,0,0.13797620467498,2020-11-01,"B.1.351",24
0,0,0.0396675026117351,2020-12-01,"B.1.351",93
0.0229885057471264,0.00632708510592601,0.0799931801396141,2021-01-01,"B.1.351",87
0.117647058823529,0.0328797737637927,0.343363505948859,2021-02-01,"B.1.351",17
0.735294117647059,0.655424390111397,0.802236739425741,2021-03-01,"B.1.351",136
0.928571428571429,0.843445877829047,0.969105782962153,2021-04-01,"B.1.351",70
