Category,Confirmed
Apr-15,546
Apr-16,636
Apr-17,768
Apr-18,877
Apr-19,1014
Apr-20,1216
Apr-21,1277
Apr-22,1522
Apr-23,1736
Apr-24,2124
Apr-25,2299
Apr-26,2564
Apr-27,2802
Apr-28,3095
Apr-29,3518
Apr-30,3850
May-01,4082
May-02,4418
May-03,4609
May-04,4895
May-05,5357
May-06,5842
May-07,6081
May-08,6365
May-09,6629
May-10,6868
May-11,7409
May-12,7409
May-13,7409
May-14,8490
May-15,8845
May-16,9190
May-17,9855
May-18,9855
May-19,10878
May-20,10878
May-21,10878
May-22,10878
May-23,10878
May-24,10878
May-25,14692
May-26,14974
May-27,15626
May-28,16203
May-29,16452
May-30,16922
May-31,17764
Jun-01,18222
Jun-02,19305
Jun-03,20008
Jun-04,20707
Jun-05,21294
Jun-06,21717
Jun-07,22256
Jun-08,22712
Jun-09,22712
Jun-10,23497
Jun-11,24432
Jun-12,24845
Jun-13,25367
Jun-14,25367
Jun-15,26239
Jun-16,26239
Jun-17,26239
Jun-18,26239
Jun-19,27267
Jun-20,27267
Jun-21,27267
Jun-22,27267
Jun-23,27267
Jun-24,27267
Jun-25,27267
Jun-26,27267
Jun-27,27267
Jun-28,27267
Jun-29,27267
Jun-30,27267
Jul-01,27267
Jul-02,27267
Jul-03,27267
Jul-04,27267
Jul-05,27267
Jul-06,27267
Jul-07,27267
Jul-08,27267
Jul-09,27267
Jul-10,27267
Jul-11,27267
Jul-12,27267
Jul-13,27267
Jul-14,27267
Jul-15,27267
Jul-16,27267
Jul-17,27267
Jul-18,41950
Jul-19,42033
Jul-20,42033
Jul-21,42085
Jul-22,42085
Jul-23,42085
Jul-24,52110
Jul-25,52110
Jul-26,52110
Jul-27,52110
Jul-28,52110
Jul-29,52224
Jul-30,52224
Jul-31,52224
Aug-01,52224
Aug-02,52224
Aug-03,52224
Aug-04,52224
Aug-05,52224
Aug-06,52224
Aug-07,52224
Aug-08,61309
Aug-09,61309
Aug-10,61309
Aug-11,61309
Aug-12,61309
Aug-13,61309
Aug-14,72837
Aug-15,72837
Aug-16,74675
Aug-17,72837
